Ticker,Market Cap,EBITDA,EPS,PS Ratio
7203.T,38626356363264.0,7038522884096.0,316.73,0.83253354
8306.T,22876184903680.0,,155.0,4.1337023
6758.T,20624191782912.0,1752999002112.0,183.26,1.568888
6861.T,16290404106240.0,536776015872.0,1568.8,16.02191
9983.T,15480119099392.0,703874990080.0,1291.43,4.9874153
9984.T,13366388064256.0,1455144042496.0,1479.4,1.909658
9432.T,12694576955392.0,3576783962112.0,13.82,0.9333819
8035.T,11636448428032.0,648546025472.0,1013.23,5.4565096
9433.T,10278267781120.0,1627071053824.0,300.78,1.7627565
9437.T,,,,
